Grade,Subject,Domain,Topic,code,altered_code,desc,NYcode,NYdesc,CAcode,CAdesc,IDcode,IDdesc,OHcode,OHdesc,NJcode,NJdesc,MAcode,MAdesc,MEcode,MEdesc,NHcode,NHdesc,VTcode,VTdesc,CTcode,CTdesc,RIcode,RIdesc,DEcode,DEdesc,MDcode,MDdesc,WIcode,WIdesc,ILcode,ILdesc,WAcode,WAdesc,WYcode,WYdesc,LAcode,LAdesc,NVcode,NVdesc,HIcode,HIdesc,MTcode,MTdesc,ORcode,ORdesc,COcode,COdesc,KYcode,KYdesc,ARcode,ARdesc,KScode,KSdesc,MIcode,MIdesc,SDcode,SDdesc,NDcode,NDdesc,NMcode,NMdesc,UTcode,UTdesc,AKcode,AKdesc
1,ELA,Reading Literature,Craft and Structure,RL.1.4,RL.1.4,Identify words and phrases in stories or poems that suggest feelings or appeal to the senses.,RL.1.4,,RL.1.4,Identify words and phrases in stories or poems that suggest feelings or appeal to the senses. (See grade 1 Language standards 4-6 for additional expectations.) CA,RL.1.4,,RL.1.4,,RL.1.4,,RL.1.4,,RL.1.4,,RL.1.4,,RL.1.4,,RL.1.4,,RL.1.4,,RL.1.4,,RL.1.4,,RL.1.4,,RL.1.4,,RL.1.4,,RL.1.4,,RL.1.4,,RL.1.4,,RL.1.4,,RL.1.4,,,,RL.1.4,,,,RL.1.4,,RL.1.4,,RL.1.4,,1.RL.4,,RL.1.4,,RL.1.4,,RL.1.4,,,
1,ELA,Reading Literature,Craft and Structure,RL.1.5,RL.1.5,"Explain major differences between books that tell stories and books that give information, drawing on a wide reading of a range of text types.",RL.1.5,,RL.1.5,"Explain major differences between books that tell stories and books that give information, drawing on a wide reading of a range of text types.",RL.1.5,,RL.1.5,,RL.1.5,,RL.1.5,,RL.1.5,,RL.1.5,,RL.1.5,,RL.1.5,,RL.1.5,,RL.1.5,,RL.1.5,,RL.1.5,,RL.1.5,,RL.1.5,,RL.1.5,,RL.1.5,,RL.1.5,,RL.1.5,,RL.1.5,,,,RL.1.5,,,,RL.1.5,,RL.1.5,,RL.1.5,,1.RL.5,,RL.1.5,,RL.1.5,,RL.1.5,,,
1,ELA,Reading Literature,Craft and Structure,RL.1.6,RL.1.6,Identify who is telling the story at various points in a text.,RL.1.6,,RL.1.6,Identify who is telling the story at various points in a text.,RL.1.6,,RL.1.6,,RL.1.6,,RL.1.6,,RL.1.6,,RL.1.6,,RL.1.6,,RL.1.6,,RL.1.6,,RL.1.6,,RL.1.6,,RL.1.6,,RL.1.6,,RL.1.6,,RL.1.6,,RL.1.6,,RL.1.6,,RL.1.6,,RL.1.6,,,,RL.1.6,,,,RL.1.6,,RL.1.6,,RL.1.6,,1.RL.6,,RL.1.6,,RL.1.6,,RL.1.6,,,
1,Science,Earth and Space Sciences,Earth’s Place in the Universe,1-ESS1-1,1-ESS1-1,"Use observations of the sun, moon, and stars to describe patterns that can be predicted.",1-ESS1-1,,1-ESS1-1,3.PS2.A; 5.PS2.B; 5-ESS1.B,ESS1-1-1,,K.ESS.2,"The moon, sun and stars are in different positions at different times of the day or night. Sometimes the moon is visible during the night, sometimes the moon is visible during the day and at other times, the moon is not visible at all. The observable shape of the moon changes in size very slowly throughout each day of every month. The sun is visible only during the day.

The sun’s position in the sky changes in a single day and from season to season. Stars are visible at night, some are visible in the evening or morning and some are brighter than others.",1-ESS1-1,,1.ESS.1.1,"Use observations of the Sun, Moon, and stars to describe that each appears to rise in one part of the sky, appears to move across the sky, and appears to set.",1-ESS1-1,,1-ESS1-1,,1-ESS1-1,,1-ESS1-1,,1-ESS1-1,,1-ESS1-1,,1-ESS1-1,,1-ESS1-1,,1-ESS1-1,,1-ESS1-1,,1-ESS1-1,,1-ESS1-1,,1-ESS1-1,,1-ESS1-1,,1-ESS1-1,,,,1-ESS1-1,,1-ESS1-1,,1-ESS1-1,,1-ESS1-1,,1-ESS1-1,,1-ESS1-1,,,,1-ESS1-1,,1-ESS1-1,,1-ESS1-1,
1,Science,Earth and Space Sciences,Earth’s Place in the Universe,1-ESS1-2,1-ESS1-2,Make observations at different times of year to relate the amount of daylight to the time of year.,1-ESS1-2,,1-ESS1-2,5.PS2.B; 5-ESS1.B,ESS1-1-2,,K.ESS.2,"The moon, sun and stars are in different positions at different times of the day or night. Sometimes the moon is visible during the night, sometimes the moon is visible during the day and at other times, the moon is not visible at all. The observable shape of the moon changes in size very slowly throughout each day of every month. The sun is visible only during the day.

The sun’s position in the sky changes in a single day and from season to season. Stars are visible at night, some are visible in the evening or morning and some are brighter than others.",1-ESS1-2,,1.ESS.1.2,"Analyze provided data to identify relationships among seasonal patterns of change, including relative sunrise and sunset time changes, seasonal temperature and rainfall or snowfall patterns, and seasonal changes to the environment. Clarification Statement: Examples of seasonal changes to the environment can include foliage changes, bird migration, and differences in amount of insect activity.",1-ESS1-2,,1-ESS1-2,,1-ESS1-2,,1-ESS1-2,,1-ESS1-2,,1-ESS1-2,,1-ESS1-2,,1-ESS1-2,,1-ESS1-2,,1-ESS1-2,,1-ESS1-2,,1-ESS1-2,,1-ESS1-2,,1-ESS1-2,,1-ESS1-2,,,,1-ESS1-2,,1-ESS1-2,,1-ESS1-2,,1-ESS1-2,,1-ESS1-2,,1-ESS1-2,,,,1-ESS1-2,,1-ESS1-2,,1-ESS1-2,
1,Math,Number And Operations In Base Ten,Extend The Counting Sequence,1.NBT.A.1,1.NBT.A.1,"Count to 120, starting at any number less than 120. In this range, read and write numerals and represent a number of objects with a written numeral.",1.NBT.1,,,,1.NBT.A.1,,1.NBT.1,,1.NBT.A.1,,1.NBT.A.1,,1.NBT.A.1,,1.NBT.A.1,,1.NBT.A.1,,1.NBT.1,,1.NBT.A.1,,1.NBT.A.1,,1.NBT.A.1,,M.1.NBT.A.1,,1.NBT.A.1,,1.NBT.A.1,,1.NBT.A.1,,1.NBT.A.1,,1.NBT.A.1,,1.NBT.A.1,,1.NBT.1,,1.NBT.A.1,,1.NBT.A.1,,KY.1.NBT.1,,1.NBT.A.1,,1.NBT.A.1,,1.NBT.A.1,,1.NBT.A.1,,1.NBT.1,,1.NBT.A.1,,1.NBT.1,,1.NBT.A.1,
1,ELA,Reading: Foundational Skills,Fluency,RF.1.4,RF.1.4,Read with sufficient accuracy and fluency to support comprehension.,RF.1.4,,RF.1.4,"Read with sufficient accuracy and fluency to support comprehension. a. Read on-level text with purpose and understanding. b. Read on-level text orally with accuracy, appropriate rate, and expression on successive readings. c. Use context to confirm or self-correct word recognition and understanding, rereading as necessary.",RF.1.4,,RF.1.4,,RF.1.4,,RF.1.4,,RF.1.4,,RF.1.4,,RF.1.4,,RF.1.4,,RF.1.4,,RF.1.4,,RF.1.4,,RF.1.4,,RF.1.4,,RF.1.4,,RF.1.4,,RF.1.4,,RF.1.4,,RF.1.4,,RF.1.4,,,,RF.1.4,,,,RF.1.4,,RF.1.4,,RF.1.4,,1.RF.4,,RF.1.4,,RF.1.4,,RF.1.4,,,
1,Science,Life Sciences,From Molecules to Organisms: Structures and Processes,1-LS1-1,1-LS1-1,"Use materials to design a solution to a human problem by mimicking how plants and/or animals use their external parts to help them survive, grow, and meet their needs.",1-LS1-1,,1-LS1-1,K.ETS1.A; 4.LS1.A; 4.LS1.D; 4.ETS1.A,LS1-1-1,,K.LS.2,Living things are made up of a variety of structures. Some of these structures and behaviors influence their survival.,1-LS1-1,,1.LS.1.1,"Use evidence to explain that (a) different animals use their body parts and senses in different ways to see, hear, grasp objects, protect themselves, move from place to place, and seek, find, and take in food, water, and air, and (b) plants have roots, stems, leaves, flowers, and fruits that are used to take in water, air, and other nutrients, and produce food for the plant.Clarification Statement: Descriptions are not expected to include mechanisms such as the process of photosynthesis.",1-LS1-1,,1-LS1-1,,1-LS1-1,,1-LS1-1,,1-LS1-1,,1-LS1-1,,1-LS1-1,,1-LS1-1,,1-LS1-1,,1-LS1-1,,1-LS1-1,,1-LS1-1,,1-LS1-1,,1-LS1-1,,1-LS1-1,,,,1-LS1-1,,1-LS1-1,,1-LS1-1,,1-LS1-1,,1-LS1-1,,1-LS1-1,,,,1-LS1-1,,1-LS1-1,,1-LS1-1,
1,Science,Life Sciences,From Molecules to Organisms: Structures and Processes,1-LS1-1,1-LS1-1,"Use materials to design a solution to a human problem by mimicking how plants and/or animals use their external parts to help them survive, grow, and meet their needs.",1-LS1-1,,1-LS1-1,K.ETS1.A; 4.LS1.A; 4.LS1.D; 4.ETS1.A,LS1-1-1,,1.LS.1,"Living things require energy, water and a particular range of temperatures in their environments.",1-LS1-1,,1.LS.1.1,"Use evidence to explain that (a) different animals use their body parts and senses in different ways to see, hear, grasp objects, protect themselves, move from place to place, and seek, find, and take in food, water, and air, and (b) plants have roots, stems, leaves, flowers, and fruits that are used to take in water, air, and other nutrients, and produce food for the plant.Clarification Statement: Descriptions are not expected to include mechanisms such as the process of photosynthesis.",1-LS1-1,,1-LS1-1,,1-LS1-1,,1-LS1-1,,1-LS1-1,,1-LS1-1,,1-LS1-1,,1-LS1-1,,1-LS1-1,,1-LS1-1,,1-LS1-1,,1-LS1-1,,1-LS1-1,,1-LS1-1,,1-LS1-1,,,,1-LS1-1,,1-LS1-1,,1-LS1-1,,1-LS1-1,,1-LS1-1,,1-LS1-1,,,,1-LS1-1,,1-LS1-1,,1-LS1-1,
1,Science,Life Sciences,From Molecules to Organisms: Structures and Processes,1-LS1-1,1-LS1-1,"Use materials to design a solution to a human problem by mimicking how plants and/or animals use their external parts to help them survive, grow, and meet their needs.",1-LS1-1,,1-LS1-1,K.ETS1.A; 4.LS1.A; 4.LS1.D; 4.ETS1.A,LS1-1-1,,1.LS.2,Resources are necessary to meet the needs of an individual and populations of individuals. Living things interact with their physical environments as they meet those needs.,1-LS1-1,,1.LS.1.1,"Use evidence to explain that (a) different animals use their body parts and senses in different ways to see, hear, grasp objects, protect themselves, move from place to place, and seek, find, and take in food, water, and air, and (b) plants have roots, stems, leaves, flowers, and fruits that are used to take in water, air, and other nutrients, and produce food for the plant.Clarification Statement: Descriptions are not expected to include mechanisms such as the process of photosynthesis.",1-LS1-1,,1-LS1-1,,1-LS1-1,,1-LS1-1,,1-LS1-1,,1-LS1-1,,1-LS1-1,,1-LS1-1,,1-LS1-1,,1-LS1-1,,1-LS1-1,,1-LS1-1,,1-LS1-1,,1-LS1-1,,1-LS1-1,,,,1-LS1-1,,1-LS1-1,,1-LS1-1,,1-LS1-1,,1-LS1-1,,1-LS1-1,,,,1-LS1-1,,1-LS1-1,,1-LS1-1,
1,Science,Life Sciences,From Molecules to Organisms: Structures and Processes,1-LS1-2,1-LS1-2,Read texts and use media to determine patterns in behavior of parents and offspring that help offspring survive.,1-LS1-2,,1-LS1-2,3.LS2.D,LS1-1-2,,K.LS.2,Living things are made up of a variety of structures. Some of these structures and behaviors influence their survival.,1-LS1-2,,1.LS.1.2,"Obtain information to compare ways in which the behavior of different animal parents and their offspring help the offspring to survive.
Clarification Statement: Examples of behaviors could include the signals that offspring make (such as crying, cheeping, and other vocalizations) and the responses of the parents (such as feeding, comforting, and protecting the offspring).",1-LS1-2,,1-LS1-2,,1-LS1-2,,1-LS1-2,,1-LS1-2,,1-LS1-2,,1-LS1-2,,1-LS1-2,,1-LS1-2,,1-LS1-2,,1-LS1-2,,1-LS1-2,,1-LS1-2,,1-LS1-2,,1-LS1-2,,,,1-LS1-2,,1-LS1-2,,1-LS1-2,,1-LS1-2,,1-LS1-2,,1-LS1-2,,,,1-LS1-2,,1-LS1-2,,1-LS1-2,
1,Science,Life Sciences,Heredity: Inheritance and Variation of Traits,1-LS3-1,1-LS3-1,"Make observations to construct an evidence-based account that young plants and animals are like, but not exactly like, their parents.",1-LS3-1,,1-LS3-1,3.LS3.A; 3.LS3.B,LS3-1-1,,,,1-LS3-1,,1.LS.3.1,"Use information from observations (first-hand and from media) to identify similarities and differences among individual plants or animals of the same kind. Clarification Statements: Examples of observations could include that leaves from the same kind of plant are the same shape but can differ in size; Inheritance, animals that undergo metamorphosis, or hybrids are not expected.",1-LS3-1,,1-LS3-1,,1-LS3-1,,1-LS3-1,,1-LS3-1,,1-LS3-1,,1-LS3-1,,1-LS3-1,,1-LS3-1,,1-LS3-1,,1-LS3-1,,1-LS3-1,,1-LS3-1,,1-LS3-1,,1-LS3-1,,,,1-LS3-1,,1-LS3-1,,1-LS3-1,,1-LS3-1,,1-LS3-1,,1-LS3-1,,,,1-LS3-1,,1-LS3-1,,1-LS3-1,
1,ELA,Reading: Informational Text,Integration of Knowledge and Ideas,RI.1.7,RI.1.7,Use the illustrations and details in a text to describe its key ideas.,RI.1.7,,RI.1.7,Use the illustrations and details in a text to describe its key ideas.,RI.1.7,,RI.1.7,,RI.1.7,,RI.1.7,,RI.1.7,,RI.1.7,,RI.1.7,,RI.1.7,,RI.1.7,,RI.1.7,,RI.1.7,,RI.1.7,,RI.1.7,,RI.1.7,,RI.1.7,,RI.1.7,,RI.1.7,,RI.1.7,,RI.1.7,,,,RI.1.7,,,,RI.1.7,,RI.1.7,,RI.1.7,,1.RI.7,,RI.1.7,,RI.1.7,,RI.1.7,,,
1,ELA,Reading: Informational Text,Integration of Knowledge and Ideas,RI.1.8,RI.1.8,Identify the reasons an author gives to support points in a text.,RI.1.8,,RI.1.8,Identify the reasons an author gives to support points in a text.,RI.1.8,,RI.1.8,,RI.1.8,,RI.1.8,,RI.1.8,,RI.1.8,,RI.1.8,,RI.1.8,,RI.1.8,,RI.1.8,,RI.1.8,,RI.1.8,,RI.1.8,,RI.1.8,,RI.1.8,,RI.1.8,,RI.1.8,,RI.1.8,,RI.1.8,,,,RI.1.8,,,,RI.1.8,,RI.1.8,,RI.1.8,,1.RI.8,,RI.1.8,,RI.1.8,,RI.1.8,,,
1,ELA,Reading: Informational Text,Integration of Knowledge and Ideas,RI.1.9,RI.1.9,"Identify basic similarities in and differences between two texts on the same topic (e.g., in illustrations, descriptions, or procedures).",RI.1.9,,RI.1.9,"Identify basic similarities in and differences between two texts on the same topic (e.g., in illustrations, descriptions, or procedures).",RI.1.9,,RI.1.9,,RI.1.9,,RI.1.9,,RI.1.9,,RI.1.9,,RI.1.9,,RI.1.9,,RI.1.9,,RI.1.9,,RI.1.9,,RI.1.9,,RI.1.9,,RI.1.9,,RI.1.9,,RI.1.9,,RI.1.9,,RI.1.9,,RI.1.9,,,,RI.1.9,,,,RI.1.9,,RI.1.9,,RI.1.9,,1.RI.9,,RI.1.9,,RI.1.9,,RI.1.9,,,
1,ELA,Reading Literature,Integration of Knowledge and Ideas,RL.1.7,RL.1.7,"Use illustrations and details in a story to describe its characters, setting, or events.",RL.1.7,,RL.1.7,"Use illustrations and details in a story to describe its characters, setting, or events.",RL.1.7,,RL.1.7,,RL.1.7,,RL.1.7,,RL.1.7,,RL.1.7,,RL.1.7,,RL.1.7,,RL.1.7,,RL.1.7,,RL.1.7,,RL.1.7,,RL.1.7,,RL.1.7,,RL.1.7,,RL.1.7,,RL.1.7,,RL.1.7,,RL.1.7,,,,RL.1.7,,,,RL.1.7,,RL.1.7,,RL.1.7,,1.RL.7,,RL.1.7,,RL.1.7,,RL.1.7,,,
1,ELA,Reading Literature,Integration of Knowledge and Ideas,RL.1.9,RL.1.9,Compare and contrast the adventures and experiences of characters in stories.,RL.1.9,,RL.1.9,Compare and contrast the adventures and experiences of characters in stories.,RL.1.9,,RL.1.9,,RL.1.9,,RL.1.9,,RL.1.9,,RL.1.9,,RL.1.9,,RL.1.9,,RL.1.9,,RL.1.9,,RL.1.9,,RL.1.9,,RL.1.9,,RL.1.9,,RL.1.9,,RL.1.9,,RL.1.9,,RL.1.9,,RL.1.9,,,,RL.1.9,,,,RL.1.9,,RL.1.9,,RL.1.9,,1.RL.9,,RL.1.9,,RL.1.9,,RL.1.9,,,
1,ELA,Reading: Informational Text,Key Ideas and Details,RI.1.1,RI.1.1,Ask and answer questions about key details in a text.,RI.1.1,,RI.1.1,Ask and answer questions about key details in a text.,RI.1.1,,RI.1.1,,RI.1.1,,RI.1.1,,RI.1.1,,RI.1.1,,RI.1.1,,RI.1.1,,RI.1.1,,RI.1.1,,RI.1.1,,RI.1.1,,RI.1.1,,RI.1.1,,RI.1.1,,RI.1.1,,RI.1.1,,RI.1.1,,RI.1.1,,,,RI.1.1,,,,RI.1.1,,RI.1.1,,RI.1.1,,1.RI.1,,RI.1.1,,RI.1.1,,RI.1.1,,,
1,ELA,Reading: Informational Text,Key Ideas and Details,RI.1.2,RI.1.2,Identify the main topic and retell key details of a text.,RI.1.2,,RI.1.2,Identify the main topic and retell key details of a text.,RI.1.2,,RI.1.2,,RI.1.2,,RI.1.2,,RI.1.2,,RI.1.2,,RI.1.2,,RI.1.2,,RI.1.2,,RI.1.2,,RI.1.2,,RI.1.2,,RI.1.2,,RI.1.2,,RI.1.2,,RI.1.2,,RI.1.2,,RI.1.2,,RI.1.2,,,,RI.1.2,,,,RI.1.2,,RI.1.2,,RI.1.2,,1.RI.2,,RI.1.2,,RI.1.2,,RI.1.2,,,
1,ELA,Reading: Informational Text,Key Ideas and Details,RI.1.3,RI.1.3,"Describe the connection between two individuals, events, ideas, or pieces of information in a text.",RI.1.3,,RI.1.3,"Describe the connection between two individuals, events, ideas, or pieces of information in a text.",RI.1.3,,RI.1.3,,RI.1.3,,RI.1.3,,RI.1.3,,RI.1.3,,RI.1.3,,RI.1.3,,RI.1.3,,RI.1.3,,RI.1.3,,RI.1.3,,RI.1.3,,RI.1.3,,RI.1.3,,RI.1.3,,RI.1.3,,RI.1.3,,RI.1.3,,,,RI.1.3,,,,RI.1.3,,RI.1.3,,RI.1.3,,1.RI.3,,RI.1.3,,RI.1.3,,RI.1.3,,,
1,ELA,Reading Literature,Key Ideas and Details,RL.1.1,RL.1.1,Ask and answer questions about key details in a text.,RI.1.1,,RL.1.1,Ask and answer questions about key details in a text.,RL.1.1,,RL.1.1,,RL.1.1,,RL.1.1,,RL.1.1,,RL.1.1,,RL.1.1,,RL.1.1,,RL.1.1,,RL.1.1,,RL.1.1,,RL.1.1,,RL.1.1,,RL.1.1,,RL.1.1,,RL.1.1,,RL.1.1,,RL.1.1,,RL.1.1,,,,RL.1.1,,,,RL.1.1,,RL.1.1,,RL.1.1,,1.RL.1,,RL.1.1,,RL.1.1,,RL.1.1,,,
